no.;abbrev;name;z1;z2;z3;z4;z5;smiles
76;Ahsopa;(-)-(2R)-2-amino-3-(2-hydroxyethylsulfonyl)propanoic acid;3,01;5,82;3,85;-3,86;-1,72;O=C(O)[C@@H](N)CS(=O)(CCO)=O
77;Ahspa;(-)-(2R)-2-amino-3-(2-hydroxyethylsulfanyl)propanoic acid;-0,43;1,61;0,66;-0,21;-1,4;O=C(O)[C@@H](N)CSCCO
78;Ahtda;(2S)-2-amino-12-hydroxy-4,7,10-trioxadodecanoic acid;-2,72;5,23;-4,36;-3,62;2,07;O=C(O)[C@@H](N)COCCOCCOCCO
79;Dadna;(2S)-2,9-diamino-4,7-dioxanonaoic acid ;2,02;3,79;-3,05;0,06;0,7;O=C(O)[C@@H](N)COCCOCCN
80;Datda;(2S)-2,12-diamino-4,7,10-trioxadodecanoic acid;0,87;6,12;-4,66;-0,7;1,14;O=C(O)[C@@H](N)COCCOCCOCCN
81;Dfnl;(S)-5,5-difluoronorleucine;-4,24;-0,29;-1,66;-2,94;1,01;N[C@@H](CCC(F)(F)C)C(O)=O
82;Dfnv;(S)-4,4-difluoronorvaline;-3,04;0,55;0,58;-1,99;2,17;N[C@@H](CC(F)(F)C)C(O)=O
83;Dtca;(3R)-1,1-dioxo-[1,4]thiaziane-3-carboxylic acid;0,31;3,32;3,48;-2,87;-2,42;O=C([C@@H](NCC1)CS1(=O)=O)O
84;Hfnl;(S)-4,4,5,5,6,6,6-heptafluoronorleucine;-4,22;3,19;1,81;-8,32;0,96;N[C@@H](CC(F)(F)C(F)(F)C(F)(F)F)C(O)=O
85;Pfnl;(S)-5,5,6,6,6-pentafluoronorleucine;-5,03;0,86;-1,61;-7,17;-0,68;N[C@@H](CCC(F)(F)C(F)(F)F)C(O)=O
86;Pfnv;(S)4,4,5,5,5-pentafluoronorvaline;-3,3;2,22;2,59;-6,36;0,16;N[C@@H](CC(F)(F)C(F)(F)F)C(O)=O
87;Tca;(3R)-1,4-thiazinane-3-carboxylic acid;-2,51;-0,54;0,58;1,61;-1,82;O=C([C@@H]1CSCCN1)O
